"lon","lat","x","y","UE","UN"
-117.99,34.031,4.0861e+05,3.766e+06,-22.53,27.2
-117.96,34.027,4.1137e+05,3.7656e+06,-28.2,28.18
-118.11,34.089,3.976e+05,3.7726e+06,-23.61,24.05
-118,34.078,4.0773e+05,3.7713e+06,-27.7,24.56
-117.88,34.042,4.1877e+05,3.7672e+06,-21.52,24.43
-117.88,34.042,4.1877e+05,3.7672e+06,-25.85,23.34
-117.91,34.062,4.1602e+05,3.7694e+06,-28.4,25.61
-117.9,34.082,4.1697e+05,3.7716e+06,-28.65,24.92
-117.55,33.975,4.4919e+05,3.7595e+06,-23.55,25.6
-117.51,34.018,4.5291e+05,3.7643e+06,-22.06,24.14
-117.44,34.032,4.5938e+05,3.7658e+06,-22.4,24.6
-117.44,34.032,4.5938e+05,3.7658e+06,-22.45,24.27
-117.53,34.077,4.511e+05,3.7708e+06,-22.69,25.27
-118.05,34.114,4.0316e+05,3.7753e+06,-25.35,24.19
-118,34.112,4.0777e+05,3.775e+06,-26.49,24.45
-117.9,34.126,4.1701e+05,3.7765e+06,-25.8,23.45
-118.09,34.161,3.9953e+05,3.7805e+06,-23.71,24.77
-118.06,34.225,4.0237e+05,3.7876e+06,-25.06,22.49
-118.06,34.226,4.0237e+05,3.7877e+06,-24.48,24.05
-117.71,34.11,4.3452e+05,3.7746e+06,-22.75,22.75
-117.69,34.121,4.3637e+05,3.7758e+06,-23.32,22.2
-117.75,34.133,4.3085e+05,3.7772e+06,-23.96,22.9
-117.73,34.137,4.3269e+05,3.7776e+06,-23.73,21.07
-117.5,34.136,4.539e+05,3.7773e+06,-22.2,20.72
-117.6,34.172,4.447e+05,3.7814e+06,-22.01,22.75
-117.77,34.222,4.2908e+05,3.787e+06,-23.8,19.6
-117.5,34.212,4.5394e+05,3.7858e+06,-20.14,20.16
-117.16,33.964,4.8522e+05,3.7582e+06,-21.62,23.14
-117.14,34.014,4.8707e+05,3.7637e+06,-18.02,20.38
-117.14,34.014,4.8707e+05,3.7637e+06,-17.9,20.22
-117.14,34.014,4.8707e+05,3.7637e+06,-16.37,20.82
-117.1,34.022,4.9077e+05,3.7646e+06,-17.01,20.18
-117.4,34.038,4.6308e+05,3.7664e+06,-21.2,23.51
-117.35,34.089,4.6771e+05,3.7721e+06,-21.41,21.85
-117.27,34.063,4.7508e+05,3.7692e+06,-21,23.1
-117.1,34.039,4.9077e+05,3.7665e+06,-18.21,19.6
-117.09,34.061,4.9169e+05,3.7689e+06,-21.3,18.58
-116.95,34.003,5.0462e+05,3.7625e+06,-19.58,18.56
-116.95,34.003,5.0462e+05,3.7625e+06,-14.24,20.33
-117.4,34.204,4.6315e+05,3.7848e+06,-23.29,18.29
-116.71,33.714,5.2687e+05,3.7305e+06,-17.46,22
-116.53,33.776,5.4352e+05,3.7374e+06,-13.17,18.48
-116.31,33.704,5.6394e+05,3.7296e+06,-12.23,15.17
-116.3,33.714,5.6486e+05,3.7307e+06,-11.94,15.43
-116.28,33.75,5.6669e+05,3.7347e+06,-10.38,13.64
-116.16,33.74,5.7781e+05,3.7336e+06,-3.85,5.48
-116.16,33.74,5.7781e+05,3.7336e+06,-8.6,9.19
-116.17,33.749,5.7687e+05,3.7346e+06,-7.99,9.97
-116.33,33.817,5.6201e+05,3.7421e+06,-5.59,22.03
-116.33,33.817,5.6201e+05,3.7421e+06,-9.31,15.09
-116.17,33.81,5.7682e+05,3.7414e+06,-6.67,7.8
-116.49,33.839,5.4719e+05,3.7444e+06,-10.26,17.87
-116.43,33.87,5.5272e+05,3.7479e+06,-11.81,13.11
-116.43,33.87,5.5272e+05,3.7479e+06,-9.51,17.72
-116.64,33.925,5.3327e+05,3.7539e+06,-13.18,19.17
-116.41,33.931,5.5453e+05,3.7547e+06,-9.71,16.01
-116.39,33.935,5.5638e+05,3.7551e+06,-9.82,17.53
-116.27,33.889,5.675e+05,3.7501e+06,-4.36,9.47
-116.09,33.861,5.8417e+05,3.7471e+06,-5.65,8.56
-116.2,33.936,5.7393e+05,3.7553e+06,-5.55,9.46
-116.17,33.952,5.7669e+05,3.7571e+06,-3.93,9.18
-115.91,33.718,6.0099e+05,3.7314e+06,-4.61,6.82
-115.4,33.715,6.4826e+05,3.7317e+06,-1.27,0.82
-115.76,33.834,6.1474e+05,3.7444e+06,-1.13,2.52
-116.41,34.055,5.5445e+05,3.7684e+06,-5.31,13.06
-116.1,34.053,5.8306e+05,3.7684e+06,-3.78,7.17
-116.19,34.083,5.7473e+05,3.7717e+06,-3.52,9.05
-116.39,34.153,5.5623e+05,3.7793e+06,-4.05,11.41
-116.39,34.153,5.5623e+05,3.7793e+06,1.85,8
-116.71,34.193,5.2672e+05,3.7836e+06,-10.54,16.87
-116.11,34.193,5.82e+05,3.7839e+06,-2.02,7.16
-116,33.974,5.9238e+05,3.7597e+06,-4.02,4
-115.95,34.059,5.969e+05,3.7692e+06,-2.58,5.8
-115.93,34.136,5.9866e+05,3.7778e+06,0.04,1.46
-115.97,34.218,5.9488e+05,3.7868e+06,-1.44,5.29
-115.26,33.234,6.6212e+05,3.6786e+06,-1.65,-0.46
-114.75,33.45,7.0913e+05,3.7034e+06,1.69,2.06
-114.99,33.609,6.8648e+05,3.7206e+06,-1.27,0.61
-115.24,33.681,6.6315e+05,3.7282e+06,-2.75,1.35
-114.71,33.61,7.1246e+05,3.7213e+06,-2.01,1.11
